Symbol,Name,"% Holding",Shares
AAPL,"Apple Inc.",5.56%,160081280
MSFT,"Microsoft Corp",5.29%,76508540
AMZN,"Amazon.com Inc.",3.89%,4341919
FB,"Facebook  Inc.",2.25%,24400984
GOOGL,"Alphabet Inc Cl A",2.00%,3050722
GOOG,"Alphabet Inc",1.95%,2924062
BRK.B,"BERKSHIRE HATHAWAY INC",1.55%,19341608
JPM,"JPMORGAN CHASE",1.41%,30954602
TSLA,"Tesla Inc",1.36%,7789439
JNJ,"Johnson & Johnson",1.25%,26665418
UNH,"UnitedHealth Group Inc",1.10%,9589364
V,"Visa Inc",1.08%,17205500
NVDA,"NVIDIA Corp",1.08%,6289317
HD,"Home Depot Inc",0.96%,10921111
PG,"PROCTER & GAMB",0.93%,24979436
DIS,"Walt Disney Co",0.91%,18414140
BAC,"Bank Of America Corp",0.91%,77066344
MA,"MasterCard Inc",0.89%,8894156
PYPL,"PayPal Holdings Inc",0.85%,11880449
CMCSA,"Comcast Corporation Class A",0.74%,46370544
XOM,"EXXON MOBIL",0.70%,42944630
ADBE,"Adobe Inc",0.67%,4862313
INTC,"Intel Corp",0.66%,41215256
VZ,"VERIZON COMMS",0.65%,41977536
CSCO,"Cisco Systems Inc",0.63%,42826012
NFLX,"Netflix Inc",0.63%,4493693
PFE,"Pfizer Inc",0.61%,56579750
KO,"Coca-Cola Company",0.60%,39342496
T,"AT&T Inc.",0.60%,72344960
CRM,"Salesforce.Com Inc",0.58%,9311761
ABT,"Abbott Laboratories",0.58%,17970460
PEP,"PepsiCo Inc",0.57%,13998106
CVX,"Chevron Corp",0.56%,19551790
ABBV,"AbbVie Inc",0.56%,17917520
WMT,"WALMART INC",0.55%,14066537
WFC,"WELLS FARGO &",0.54%,41946664
MRK,"MERCK & CO",0.54%,25673752
AVGO,"BROADCOM INC",0.54%,4142063
TMO,"Thermo Fisher Scientific Inc",0.52%,3995513
ACN,"Accenture PLC",0.50%,6435343
MCD,"MCDONALDS COR",0.49%,7564828
TXN,"TEXAS INSTRUME",0.49%,9337235
NKE,"NIKE Inc",0.49%,12901055
COST,"Costco Wholesale Corporation",0.48%,4491450
MDT,"Medtronic Inc",0.47%,13678265
C,"Citigroup Inc",0.46%,21178948
DHR,DANAHER,0.45%,6431444
HON,"Honeywell International",0.45%,7056965
LLY,"ELI LILLY",0.45%,8071484
LIN,"LIN Media LLC",0.44%,5304844
UPS,"United Parcel Service Inc",0.43%,7298749
QCOM,"QUALCOMM Inc",0.43%,11526466
PM,"PHILIP MORRIS",0.42%,15801311
UNP,"Union Pacific Corp",0.42%,6796462
BMY,"Bristol-Myers Squibb Co",0.41%,22732982
ORCL,"Oracle Corp",0.41%,18819092
NEE,"NEXTERA ENERGY",0.40%,19885826
LOW,"Lowes Companies Inc",0.40%,7417049
BA,"BOEING CO",0.39%,5565284
AMGN,"Amgen Inc.",0.38%,5860261
MS,"Morgan Stanley",0.38%,15222664
RTX,"Raytheon Technologies Corp",0.38%,15413674
SBUX,SBUX,0.38%,11945379
CAT,"Caterpillar Inc",0.37%,5532905
IBM,"International Business Machines Corp",0.36%,9064709
GS,"GOLDM SACHS GR",0.36%,3490200
AMAT,"Applied Materials Inc.",0.36%,9308760
GE,"GENERAL ELEC C",0.35%,88942360
BLK,"BLACKROCK INC",0.35%,1439936
INTU,"Intuit Inc",0.33%,2778518
MMM,3M,0.33%,5874435
AMT,"American Tower Corporation",0.32%,4603367
TGT,"Target Corp",0.32%,5082046
DE,"Deere & Co",0.32%,3179508
CVS,"CVS Health Corporation",0.32%,13305691
SCHW,"Charles Schwab Corp",0.31%,15184664
AXP,"American Express Company",0.29%,6620827
ISRG,"Intuitive Surgic",0.28%,1194488
CHTR,"Charter Communications Inc",0.28%,1435028
ANTM,"Anthem Inc.",0.27%,2484975
BKNG,"BOOKING HOLDIN",0.27%,415678
LMT,"Lockheed Martin Corp",0.27%,2501044
AMD,"Advanced Micro Devices",0.27%,12278198
NOW,"ServiceNow Inc",0.26%,1989226
MU,"MICRON TECH",0.26%,11347826
FIS,"FIDELITY NATIONA",0.26%,6302317
LRCX,"Lam Research Corp",0.26%,1450043
SPGI,"S&P Global Inc",0.26%,2442168
MO,"ALTRIA GROUP",0.26%,18859312
CI,"Cigna Corp",0.26%,3570041
MDLZ,"MONDELEZ INT C",0.25%,14327970
PLD,PROLOGIS,0.24%,7503291
ADP,"Automatic Data Processing Inc.",0.24%,4342069
TFC,"Truist Financial Corp",0.24%,13669194
SYK,"Stryker Corp",0.23%,3320773
USB,"U.S. Bancorp",0.23%,13869714
ZTS,"Zoetis Inc",0.23%,4821176
GILD,"GILEAD SCI",0.23%,12750093
TMUS,"T-Mobile US Inc",0.23%,5926661
PNC,"PNC Financial Services Group Inc",0.23%,4302419
CCI,"Crown Castle International Corp",0.23%,4376244
TJX,"TJX Companies Inc",0.23%,12182236
CME,"CME Group Inc. Class A",0.22%,3642712
DUK,"DUKE ENERGY",0.22%,7799280
FDX,"FedEx Corp",0.22%,2466899
CB,"Chubb Corp/The",0.21%,4568144
CSX,"CSX Corporation",0.21%,7736662
GM,"GENERAL MOTORS",0.21%,12863817
ATVI,"Activision Blizzard Inc",0.21%,7860940
COP,ConocoPhillips,0.21%,13745822
COF,"Capital One Financial Corp",0.21%,4658510
CL,"Colgate-Palmolive Company",0.20%,8607830
NSC,"NORFOLK SOUTHE",0.20%,2555364
BDX,"BECTON DICKINSON AND CO",0.20%,2947498
MMC,"MARSH & MCLENN",0.20%,5155119
EL,"ESTEE LAUDER",0.19%,2313636
SHW,"Sherwin-Williams Co",0.19%,2455747
FISV,"Fiserv  Inc.",0.19%,6043561
SO,"Southern Co",0.19%,10718261
ITW,"ILLINOIS TOOL",0.19%,2923121
APD,"Air Prods & Chems Inc",0.19%,2244664
EQIX,"EQUINIX INC",0.18%,905889
ADSK,"Autodesk Inc.",0.18%,2232376
ICE,"Intercontinental Exchange Inc",0.18%,5697924
FCX,"FREEPORT MCMORAN INC",0.17%,14794900
D,"DOMINION ENERGY",0.17%,8172508
